#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Aug 23 00:53:17 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MEMTEST_map.ncd
#OUTPUT FILE:      MEMTEST_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,SDRAM_nCS,IOB,IO_L83N_VREF_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,NO,NONE,
P2,SDRAM_nRAS,IOB,IO_L83P_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,3.30,,,,
P5,SDRAM_nCAS,IOB,IO_L52N_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,NO,NONE,
P6,SDRAM_nWE,IOB,IO_L52P_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,NO,NONE,
P7,SDRAM_DQM<0>,IOB,IO_L51N_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,NO,NONE,
P8,SDRAM_DATA<7>,IOB,IO_L51P_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P9,SDRAM_DATA<0>,IOB,IO_L50N_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P10,SDRAM_DATA<1>,IOB,IO_L50P_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P11,SDRAM_DATA<2>,IOB,IO_L49N_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P12,SDRAM_DATA<3>,IOB,IO_L49P_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P13,,,GND,,,,,,,,,,,,
P14,SDRAM_DATA<4>,IOB,IO_L44N_GCLK20_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P15,SDRAM_DATA<5>,IOB,IO_L44P_GCLK21_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P16,SDRAM_DATA<6>,IOB,IO_L43N_GCLK22_IRDY2_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P17,SDRAM_DQM<1>,IOB,IO_L43P_GCLK23_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,NO,NONE,
P18,,,VCCO_3,,,3,,,,,3.30,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,SDRAM_DATA<8>,IOB,IO_L42N_GCLK24_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P22,SDRAM_DATA<9>,IOB,IO_L42P_GCLK25_TRDY2_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P23,SDRAM_DATA<10>,IOB,IO_L41N_GCLK26_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P24,SDRAM_DATA<11>,IOB,IO_L41P_GCLK27_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P25,,,GND,,,,,,,,,,,,
P26,SDRAM_DATA<12>,IOB,IO_L37N_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P27,SDRAM_DATA<13>,IOB,IO_L37P_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,SDRAM_DATA<14>,IOB,IO_L36N_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P30,SDRAM_DATA<15>,IOB,IO_L36P_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P31,,,VCCO_3,,,3,,,,,3.30,,,,
P32,SDRAM_CLK,IOB,IO_L2N_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P33,SDRAM_CKE,IOB,IO_L2P_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,NO,NONE,
P34,SDRAM_ADDR<12>,IOB,IO_L1N_VREF_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,NO,NONE,
P35,SDRAM_ADDR<11>,IOB,IO_L1P_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,NO,NONE,
P36,,,VCCAUX,,,,,,,,2.5,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
P39,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
P40,SDRAM_ADDR<9>,IOB,IO_L64N_D9_2,OUTPUT,LVTTL,2,12,FAST,,,,LOCATED,NO,NONE,
P41,SDRAM_ADDR<8>,IOB,IO_L64P_D8_2,OUTPUT,LVTTL,2,12,FAST,,,,LOCATED,NO,NONE,
P42,,,VCCO_2,,,2,,,,,3.30,,,,
P43,SDRAM_ADDR<7>,IOB,IO_L62N_D6_2,OUTPUT,LVTTL,2,12,FAST,,,,LOCATED,NO,NONE,
P44,SDRAM_ADDR<6>,IOB,IO_L62P_D5_2,OUTPUT,LVTTL,2,12,FAST,,,,LOCATED,NO,NONE,
P45,SDRAM_ADDR<5>,IOB,IO_L49N_D4_2,OUTPUT,LVTTL,2,12,FAST,,,,LOCATED,NO,NONE,
P46,SDRAM_ADDR<4>,IOB,IO_L49P_D3_2,OUTPUT,LVTTL,2,12,FAST,,,,LOCATED,NO,NONE,
P47,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
P48,nAN<3>,IOB,IO_L48P_D7_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P49,,,GND,,,,,,,,,,,,
P50,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
P51,nSEG<7>,IOB,IO_L31P_GCLK31_D14_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,,VCCAUX,,,,,,,,2.5,,,,
P54,,,GND,,,,,,,,,,,,
P55,,IOBS,IO_L30N_GCLK0_USERCCLK_2,UNUSED,,2,,,,,,,,,
P56,nAN<2>,IOB,IO_L30P_GCLK1_D13_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P57,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
P58,nSEG<4>,IOB,IO_L14P_D11_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P59,,IOBS,IO_L13N_D10_2,UNUSED,,2,,,,,,,,,
P60,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,PROHIBITED,,,
P61,nSEG<5>,IOB,IO_L12N_D2_MISO3_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P62,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
P63,,,VCCO_2,,,2,,,,,3.30,,,,
P64,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
P65,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
P66,nSEG<2>,IOB,IO_L2N_CMPMOSI_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P67,nSEG<3>,IOB,IO_L2P_CMPCLK_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P68,,,GND,,,,,,,,,,,,
P69,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,PROHIBITED,,,
P70,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
P75,nSEG<0>,IOB,IO_L74P_AWAKE_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P76,,,VCCO_1,,,1,,,,,3.30,,,,
P77,,,GND,,,,,,,,,,,,
P78,,IOBS,IO_L47N_1,UNUSED,,1,,,,,,,,,
P79,nAN<1>,IOB,IO_L47P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P80,,IOBS,IO_L46N_1,UNUSED,,1,,,,,,,,,
P81,nSEG<6>,IOB,IO_L46P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P82,,IOBS,IO_L45N_1,UNUSED,,1,,,,,,,,,
P83,nSEG<1>,IOB,IO_L45P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P84,,IOBS,IO_L43N_GCLK4_1,UNUSED,,1,,,,,,,,,
P85,nAN<0>,IOB,IO_L43P_GCLK5_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
